prompt
"A young woman sitting on a park bench reading a book on a sunny day, with clear facial features but not overly close. Soft sunlight highlights her face, creating a peaceful and serene scene."
"A middle-aged man standing in front of an art gallery, looking thoughtfully at the artwork. His face is clear but not overly zoomed, with a soft expression of contemplation."
"A young man walking through a bustling city street at night, illuminated by neon signs. His face is visible but not too close, capturing a relaxed and thoughtful expression."
"A young woman enjoying a sunset on the beach, her face turned slightly towards the camera. The scene captures her smile and the warm glow of the setting sun."
"An elderly man sitting by a window in a cozy coffee shop, gazing out thoughtfully. His face is clear but at a comfortable distance, showing wisdom in his gentle expression."
"A young woman standing in a field of flowers, her face illuminated by natural light. She is smiling softly, enjoying the peaceful surroundings with her face clearly visible but not too close."
"A man sitting on a mountain trail, enjoying the fresh air with a content expression. His face is clear but positioned naturally within the scene, conveying tranquility and a love for nature."
"A young man sketching in a notebook while sitting on a park bench, his face showing concentration. His facial features are clear but not too large, with a relaxed, creative atmosphere."
"A young woman hiking along a forest trail, looking up at the tall trees with a smile. Her face is clear but at a natural distance, expressing awe and appreciation for nature."
"An elderly woman sitting on a bench in a quiet park, feeding birds with a gentle smile. Her face is clear but not overly large, showing kindness and warmth."
